Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
ZOZI,21 Sep 2015,9.38,9.4,9.38,9.4,6437
ZOZI,22 Sep 2015,9.4,9.4,9.4,9.4,0
ZOZI,23 Sep 2015,9.33,9.33,9.33,9.33,849
ZOZI,24 Sep 2015,9.33,9.33,9.33,9.33,0
ZOZI,25 Sep 2015,9.33,9.33,9.33,9.33,0
ZOZI,28 Sep 2015,9.33,9.33,9.33,9.33,0
ZOZI,29 Sep 2015,9.33,9.33,9.33,9.33,0
ZOZI,30 Sep 2015,9.18,9.18,9.14,9.14,2188
ZOZI,01 Oct 2015,9.4,9.43,9.4,9.43,2220
ZOZI,02 Oct 2015,9.43,9.43,9.43,9.43,0
ZOZI,05 Oct 2015,9.43,9.43,9.43,9.43,0
ZOZI,06 Oct 2015,9.43,9.43,9.43,9.43,0
ZOZI,07 Oct 2015,9.45,9.56,9.45,9.56,880
ZOZI,08 Oct 2015,9.64,9.64,9.64,9.64,18630
ZOZI,09 Oct 2015,9.69,9.69,9.69,9.69,300
ZOZI,12 Oct 2015,9.73,9.73,9.65,9.65,3567
ZOZI,13 Oct 2015,9.65,9.65,9.65,9.65,0
ZOZI,14 Oct 2015,9.59,9.59,9.59,9.59,4350
ZOZI,15 Oct 2015,9.59,9.59,9.59,9.59,0
ZOZI,16 Oct 2015,9.59,9.59,9.59,9.59,0
ZOZI,19 Oct 2015,9.59,9.59,9.59,9.59,0
ZOZI,20 Oct 2015,9.59,9.59,9.59,9.59,0
ZOZI,21 Oct 2015,9.59,9.59,9.59,9.59,0
ZOZI,22 Oct 2015,9.59,9.59,9.59,9.59,0
ZOZI,23 Oct 2015,9.59,9.59,9.59,9.59,0
ZOZI,26 Oct 2015,9.87,9.87,9.87,9.87,490
ZOZI,27 Oct 2015,9.87,9.87,9.87,9.87,9700
ZOZI,28 Oct 2015,9.83,9.83,9.83,9.83,100
ZOZI,29 Oct 2015,9.83,9.83,9.83,9.83,0
ZOZI,30 Oct 2015,9.83,9.83,9.83,9.83,0
ZOZI,31 Oct 2015,0,0,0,0,0
ZOZI,02 Nov 2015,9.83,9.83,9.83,9.83,0
ZOZI,03 Nov 2015,9.62,9.62,9.62,9.62,507
ZOZI,04 Nov 2015,9.75,9.75,9.75,9.75,166
ZOZI,05 Nov 2015,9.63,9.63,9.63,9.63,230
ZOZI,06 Nov 2015,9.62,9.62,9.62,9.62,6000
ZOZI,09 Nov 2015,9.54,9.54,9.54,9.54,507
ZOZI,10 Nov 2015,9.34,9.34,9.34,9.34,2500
ZOZI,11 Nov 2015,9.34,9.34,9.34,9.34,0
