Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
ZYAU,02 Nov 2015,9.52,9.55,9.52,9.55,1618
ZYAU,03 Nov 2015,9.55,9.55,9.55,9.55,0
ZYAU,04 Nov 2015,9.72,9.72,9.72,9.72,110
ZYAU,05 Nov 2015,9.56,9.56,9.56,9.56,1512
ZYAU,06 Nov 2015,9.56,9.56,9.56,9.56,0
ZYAU,09 Nov 2015,9.59,9.59,9.59,9.59,1521
ZYAU,10 Nov 2015,9.41,9.43,9.41,9.43,1640
ZYAU,11 Nov 2015,9.51,9.51,9.51,9.51,2755
ZYAU,12 Nov 2015,9.45,9.45,9.45,9.45,738
ZYAU,13 Nov 2015,9.34,9.34,9.34,9.34,1602
ZYAU,16 Nov 2015,9.28,9.32,9.28,9.32,30900
ZYAU,17 Nov 2015,9.4,9.46,9.4,9.46,7427
ZYAU,18 Nov 2015,9.5,9.5,9.5,9.5,2000
ZYAU,19 Nov 2015,9.5,9.5,9.5,9.5,0
ZYAU,20 Nov 2015,9.79,9.79,9.79,9.79,2579
ZYAU,23 Nov 2015,9.81,9.81,9.8,9.8,10065
ZYAU,24 Nov 2015,9.82,9.82,9.76,9.76,1464
ZYAU,25 Nov 2015,9.76,9.76,9.76,9.76,0
ZYAU,26 Nov 2015,9.73,9.73,9.73,9.73,4106
ZYAU,27 Nov 2015,9.76,9.76,9.76,9.76,500
ZYAU,30 Nov 2015,9.76,9.76,9.76,9.76,0
ZYAU,01 Dec 2015,9.76,9.82,9.76,9.82,6844
ZYAU,02 Dec 2015,9.85,9.85,9.85,9.85,2000
ZYAU,03 Dec 2015,9.85,9.85,9.85,9.85,0
ZYAU,04 Dec 2015,9.56,9.57,9.56,9.57,10961
ZYAU,07 Dec 2015,9.58,9.59,9.58,9.59,6750
ZYAU,08 Dec 2015,9.5,9.54,9.5,9.53,14340
ZYAU,09 Dec 2015,9.45,9.51,9.45,9.49,5300
ZYAU,10 Dec 2015,9.4,9.4,9.36,9.36,5863
ZYAU,11 Dec 2015,9.36,9.36,9.36,9.36,0
ZYAU,14 Dec 2015,9.36,9.36,9.36,9.36,0
ZYAU,15 Dec 2015,9.2,9.2,9.2,9.2,545
ZYAU,16 Dec 2015,9.3,9.3,9.3,9.3,490
ZYAU,17 Dec 2015,9.44,9.48,9.44,9.44,11023
ZYAU,18 Dec 2015,9.41,9.41,9.41,9.41,7400
ZYAU,21 Dec 2015,9.49,9.49,9.45,9.45,5438
ZYAU,22 Dec 2015,9.45,9.45,9.45,9.45,0
ZYAU,23 Dec 2015,9.45,9.45,9.45,9.45,0
ZYAU,24 Dec 2015,9.45,9.45,9.45,9.45,0
ZYAU,29 Dec 2015,9.45,9.45,9.45,9.45,0
ZYAU,30 Dec 2015,9.45,9.45,9.45,9.45,0
ZYAU,31 Dec 2015,9.45,9.45,9.45,9.45,0
ZYAU,04 Jan 2016,9.45,9.45,9.45,9.45,0
ZYAU,05 Jan 2016,9.45,9.45,9.45,9.45,0
ZYAU,06 Jan 2016,9.45,9.45,9.45,9.45,0
ZYAU,07 Jan 2016,9.44,9.44,9.33,9.33,7295
ZYAU,08 Jan 2016,9.26,9.26,9.26,9.26,937
ZYAU,11 Jan 2016,9.11,9.15,9.11,9.15,605
ZYAU,12 Jan 2016,9.25,9.25,9.18,9.19,6789
ZYAU,13 Jan 2016,9.22,9.32,9.22,9.32,9615
ZYAU,14 Jan 2016,9.32,9.32,9.32,9.32,0
